0,1
1,4.15
2,1.65
3,0.12
4,0.65
5,0.87
6,10.65
7,11.54
8,76.87
9,80.69
10,87.69
11,91.15
12,50.55
13,46.36
14,90.54
15,78.65
16,84.16
17,84.56
18,1.65
19,10.74
20,2.12
21,0.36
22,0.54
23,0.98
24,0.64
1,1.56
2,1.32
3,2.31
4,1.87
5,1.98
6,1.68
7,2.65
8,100.54
9,108.65
10,110.54
11,116.11
12,40.69
13,67.69
14,120.54
15,116.36
16,108.99
17,94.65
18,31.65
19,23.12
20,0.98
21,0.45
22,0.67
23,1.65
24,1.98
1,2.45
2,1.65
3,0.32
4,0.48
5,0.76
6,0.65
7,0.98
8,140.65
9,145.68
10,153.12
11,120.45
12,80.36
13,46.98
14,140.65
15,123.64
16,116.54
17,84.65
18,1.32
19,1.45
20,1.65
21,1.94
22,1.78
23,1.32
24,0.48
1,0.68
2,0.49
3,1.65
4,1.23
5,0.45
6,2.98
7,10.34
8,180.95
9,178.96
10,196.65
11,200.02
12,78.12
13,76.95
14,73.15
15,168.20
16,197.30
17,185.36
18,1.26
19,2.65
20,1.23
21,0.80
22,0.96
23,0.32
24,0.45
