0,1
1,2.31
2,0.84
3,2.64
4,2.12
5,1.43
6,1.35
7,16.67
8,98.37
9,76.24
10,103.69
11,73.68
12,85.34
13,42.69
14,64.21
15,48.57
16,56.34
17,49.99
18,21.54
19,16.55
20,4.69
21,2.12
22,1.45
23,2.44
24,2.31
1,0.84
2,2.12
3,0.65
4,0.57
5,1.39
6,1.64
7,21.96
8,96.31
9,87.12
10,98.55
11,46.12
12,136.49
13,126.97
14,124.65
15,48.76
16,56.93
17,98.32
18,45.21
19,28.97
20,2.16
21,2.97
22,0.54
23,1.33
24,4.95
1,1.46
2,0.19
3,0.97
4,0.64
5,1.97
6,2.64
7,31.23
8,76.48
9,45.96
10,67.45
11,47.65
12,101.02
13,81.13
14,46.73
15,75.68
16,102.21
17,89.67
18,65.48
19,31.46
20,3.46
21,12.32
22,16.46
23,1.09
24,1.01
1,1.97
2,0.68
3,0.41
4,0.69
5,2.54
6,9.42
7,29.64
8,84.63
9,124.97
10,94.65
11,97.23
12,75.65
13,71.98
14,46.68
15,67.94
16,35.48
17,67.98
18,59.46
19,35.67
20,10.95
21,4.38
22,0.68
23,1.97
24,2.64
