0,1
1,2.78
2,2.01
3,1.95
4,0.75
5,0.08
6,0.34
7,10.54
8,126.65
9,127.45
10,141.21
11,123.54
12,86.12
13,125.54
14,187.02
15,168.10
16,165.99
17,50.33
18,10.02
19,2.15
20,2.31
21,1.87
22,2.69
23,1.54
24,0.54
1,1.65
2,0.11
3,0.65
4,0.12
5,1.24
6,3.45
7,80.67
8,100.65
9,97.45
10,84.46
11,83.15
12,75.64
13,45.32
14,51.34
15,87.68
16,96.35
17,46.98
18,12.21
19,1.32
20,2.45
21,7.65
22,1.36
23,0.87
24,0.36
1,0.78
2,1.98
3,0.45
4,4.39
5,1.54
6,7.84
7,1.68
8,76.65
9,67.12
10,48.25
11,78.65
12,30.45
13,38.49
14,34.96
15,60.33
16,48.75
17,49.55
18,2.54
19,1.69
20,3.45
21,0.15
22,0.98
23,0.15
24,0.16
1,0.87
2,1.21
3,1.97
4,1.65
5,1.98
6,1.96
7,2.05
8,30.45
9,31.65
10,32.45
11,40.01
12,30.65
13,31.58
14,29.87
15,36.11
16,40.15
17,11.54
18,1.65
19,2.45
20,0.21
21,0.36
22,0.54
23,0.87
24,0.69


